📅 Day,📆 Date,📚 Calculus 2 Topic,🎯 Daily Goal,📖 Unit,📊 Week,⏰ Study Hours,✅ Completed
"Tuesday","Aug 26, 2025","Volume: disc method (revolving around other axes)","✅ Master: Volume: disc method (revolving around other axes) → Begin next topic","🎯 Applications of Integrals","Week 10","3 hours","☐ (72% complete)"
"Wednesday","Aug 27, 2025","Volume: washer method (revolving around x- and y-axes)","✅ Master: Volume: washer method (revolving around x- and y-axes) → Begin next topic","🎯 Applications of Integrals","Week 10","3 hours","☐ (73% complete)"
"Thursday","Aug 28, 2025","Volume: washer method (revolving around other axes)","✅ Master: Volume: washer method (revolving around other axes) → Begin next topic","🎯 Applications of Integrals","Week 10","3 hours","☐ (75% complete)"
"Friday","Aug 29, 2025","Applications of integrals: Quiz 3","✅ Master: Applications of integrals: Quiz 3 → Begin next topic","🎯 Applications of Integrals","Week 10","3 hours","☐ (76% complete)"
"Saturday","Aug 30, 2025","Arc length","✅ Master: Arc length → Begin next topic","🎯 Applications of Integrals","Week 10","3 hours","☐ (77% complete)"
"Sunday","Aug 31, 2025","Calculator-active practice","✅ Master: Calculator-active practice → Begin next topic","🎯 Applications of Integrals","Week 11","3 hours","☐ (79% complete)"
"Monday","Sep 1, 2025","Applications of integrals: Quiz 4","✅ Master: Applications of integrals: Quiz 4 → Begin next topic","🎯 Applications of Integrals","Week 11","3 hours","☐ (80% complete)"
"Tuesday","Sep 2, 2025","Applications of integrals: Unit test","✅ Master: Applications of integrals: Unit test → Begin next topic","🎯 Applications of Integrals","Week 11","3 hours","☐ (82% complete)"
"Wednesday","Sep 3, 2025","Parametric equations intro","✅ Master: Parametric equations intro → Begin next topic","📊 Parametric & Polar Functions","Week 11","3 hours","☐ (83% complete)"
"Thursday","Sep 4, 2025","Second derivatives of parametric equations","✅ Master: Second derivatives of parametric equations → Begin next topic","📊 Parametric & Polar Functions","Week 11","3 hours","☐ (85% complete)"
"Friday","Sep 5, 2025","Arc length: parametric curves","✅ Master: Arc length: parametric curves → Begin next topic","📊 Parametric & Polar Functions","Week 11","3 hours","☐ (86% complete)"
"Saturday","Sep 6, 2025","Parametric equations, polar coordinates, and vector-valued functions: Quiz 1","✅ Master: Parametric equations, polar coordinates, and vector-valued functions: Quiz 1 → Begin next topic","📊 Parametric & Polar Functions","Week 11","3 hours","☐ (87% complete)"
"Sunday","Sep 7, 2025","Vector-valued functions","✅ Master: Vector-valued functions → Begin next topic","📊 Parametric & Polar Functions","Week 12","3 hours","☐ (89% complete)"
"Monday","Sep 8, 2025","Parametric equations, polar coordinates, and vector-valued functions: Quiz 2","✅ Master: Parametric equations, polar coordinates, and vector-valued functions: Quiz 2 → Begin next topic","📊 Parametric & Polar Functions","Week 12","3 hours","☐ (90% complete)"
"Tuesday","Sep 9, 2025","Planar motion","✅ Master: Planar motion → Begin next topic","📊 Parametric & Polar Functions","Week 12","3 hours","☐ (92% complete)"
"Wednesday","Sep 10, 2025","Parametric equations, polar coordinates, and vector-valued functions: Quiz 3","✅ Master: Parametric equations, polar coordinates, and vector-valued functions: Quiz 3 → Begin next topic","📊 Parametric & Polar Functions","Week 12","3 hours","☐ (93% complete)"
"Thursday","Sep 11, 2025","Polar functions","✅ Master: Polar functions → Begin next topic","📊 Parametric & Polar Functions","Week 12","3 hours","☐ (94% complete)"
"Friday","Sep 12, 2025","Area: polar regions (single curve)","✅ Master: Area: polar regions (single curve) → Begin next topic","📊 Parametric & Polar Functions","Week 12","3 hours","☐ (96% complete)"
"Wednesday","Sep 17, 2025","Area: polar regions (two curves)","✅ Master: Area: polar regions (two curves) → Begin next topic","📊 Parametric & Polar Functions","Week 13","3 hours","☐ (97% complete)"
"Thursday","Sep 18, 2025","Arc length: polar curves","✅ Master: Arc length: polar curves → Begin next topic","📊 Parametric & Polar Functions","Week 13","3 hours","☐ (99% complete)"
"Friday","Sep 19, 2025","Calculator-active practice","✅ Master: Calculator-active practice → Begin next topic","📊 Parametric & Polar Functions","Week 13","3 hours","☐ (100% complete)"
